country,age,tenure,balance,products_number,active_member,churn
France,42,2,0.0,1,1,1
Spain,41,1,83807.86,1,1,0
France,42,8,159660.8,3,0,1
France,39,1,0.0,2,0,0
Spain,43,2,125510.82,1,1,0
Spain,44,8,113755.78,2,0,1
France,50,7,0.0,2,1,0
Germany,29,4,115046.74,4,0,1
France,44,4,142051.07,2,1,0
France,27,2,134603.88,1,1,0
France,31,6,102016.72,2,0,0
Spain,24,3,0.0,2,0,0
France,34,10,0.0,2,0,0
France,25,5,0.0,2,0,0
Spain,35,7,0.0,2,1,0
Germany,45,3,143129.41,2,1,0
Germany,58,1,132602.88,1,0,1
Spain,24,9,0.0,2,1,0
Spain,45,6,0.0,1,0,0
France,24,6,0.0,2,1,0
France,41,8,0.0,2,1,0
Spain,32,8,0.0,2,0,0
Spain,38,4,0.0,1,0,1
France,46,3,0.0,2,1,0
France,38,5,0.0,1,1,0
France,25,3,0.0,2,1,0
Germany,36,2,136815.64,1,1,0
France,44,9,0.0,2,0,0
Germany,43,3,141349.43,1,1,0
France,29,0,59697.17,2,1,0
Spain,39,3,0.0,3,0,1
France,36,7,85311.7,1,1,0
Germany,41,9,110112.54,2,0,0
Spain,42,6,0.0,2,1,0
Spain,29,9,0.0,2,1,0
France,45,0,134264.04,1,0,1
Spain,31,3,145260.23,1,1,0
Spain,33,7,76548.6,1,1,0
France,36,7,0.0,1,1,0
Germany,41,6,70349.48,2,1,0
Spain,40,4,0.0,1,0,0
France,51,8,122522.32,1,0,1
France,61,2,117419.35,1,1,0
France,49,2,131394.56,1,0,1
Spain,61,5,155931.11,1,1,0
Germany,32,4,109421.13,2,1,0
Germany,27,9,112045.67,1,1,1
Germany,39,9,137843.8,1,1,1
Germany,38,2,103391.38,1,1,0
Germany,37,2,103769.22,2,0,0
Germany,44,10,116363.37,2,0,0
Germany,36,5,146050.97,2,0,0
France,33,5,0.0,2,0,0
Germany,41,8,125561.97,1,0,1
Germany,42,1,98495.72,1,0,1
France,43,1,125211.92,1,1,0
France,45,5,127864.4,1,0,0
Germany,19,0,75888.2,1,0,0
Spain,66,4,0.0,1,0,1
France,51,4,40685.92,1,1,0
Germany,35,5,136857.0,1,0,0
